# =============================================================================
# PRIZM MOBILE — MASTER INVENTORY & TRACEABILITY MATRIX
# =============================================================================
# 
# Standard: IEEE 829-2008 / QA-QC-POLICY-AND-PLAN.md §4.0
# Single source of truth for ALL module operations across ALL batches.
# Every agent MUST update this file when sweeping, testing, or deploying.
#
# ── MANDATORY HEADER (do not change column order or names) ──────────────────
#
# #,Batch,Round,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,
# WEBUI_Available,API_Available,Mobile_Available,Tested,HTTP_Code,Success,
# Iterations,Gap_Severity,Fields,Notes
#
# ── HOW TO UPDATE ────────────────────────────────────────────────────────────
#
# 1. NEVER change the header row. All agents use same columns.
# 2. Sweeping new module: add rows with Round=1, Tested=NO, Success=PENDING
# 3. Testing: update Tested=YES, HTTP_Code=200, Success=YES/NO, increment Iterations
# 4. Fixing: increment Round, update Notes with fix description
# 5. Each batch round = new block with blank line + separator comment
# 6. Do NOT delete old rows — increment Iterations and update Success
#
# ── BATCH DEFINITIONS (from QA-QC-POLICY-AND-PLAN.md §2.2) ──────────────────
#
# BATCH 1: Tasks (Pilot)
# BATCH 2: Customers · Contacts · Leads · Contracts · Business Partners · Projects · Milestones
# BATCH 3: Invoices · Estimates · Proposals · Payments · Items · Credit Notes · Expenses · Budget · Cost Centers
# BATCH 4: Tickets · Knowledge Base · Surveys · Announcements
# BATCH 5: Purchase Requests · Purchase Orders · Payment Requests · Expense Requests · Suppliers · Delivery Notes · Quotations · Received Vouchers · Completion Certificates
# BATCH 6: Staff · HR Records · HR Payroll · Recruitment · Leaves · Timesheets · Goals · Todo
# BATCH 7: Gatepass · Fixed Equipment · Materials Catalog · Vehicles · Cost Centers
# BATCH 8: Tenders · Opportunities · Technical Inquiries · RFQ · Advance Leads
# BATCH 9: Dashboard · Calendar · Reports · Settings · Roles · Permissions · API Management · Automation · Custom Fields · Filters · Mods · Backup · Documentation
# BATCH 10: AI Gateway · AI Feature Management · Outlook365 · QuickBooks · Linkedin · DMS · KBI · SMS/OTP
#
# =============================================================================
# ===== BATCH 1 — ROUND 1 — Tasks Pilot (Sweep) ===================
#,Batch,Round,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,WEBUI_Available,API_Available,Mobile_Available,Tested,HTTP_Code,Success,Iterations,Gap_Severity,Fields,Notes
27,1,1,tasks,Delete Checklist Item,SUB,DELETE,/api/tasks/checklist/{id},delete_checklist_item,YES,YES,YES,YES,200,YES,1,NONE,(checklist_id),Permission: staff_can delete OR own item.
28,1,1,tasks,Toggle Checklist (alias),SUB,PUT,/api/tasks/checklist/item/{id},checkbox_action,YES,YES,YES,YES,200,YES,1,NONE,finished,Alias for checklist_put. Used by mobile toggle.
29,1,1,tasks,Delete Checklist (alias),SUB,DELETE,/api/tasks/checklist/item/{id},(same as above),YES,YES,YES,YES,200,YES,1,NONE,(id),Alias for checklist_delete.
30,1,1,tasks,List Comments,SUB,GET,/api/tasks/comments/{id},(embedded in task view),YES,YES,YES,YES,200,YES,1,NONE,id,taskid
31,1,1,tasks,Add Comment,SUB,POST,/api/tasks/comments,add_task_comment,YES,YES,YES,YES,200,YES,1,NONE,task_id,content
32,1,1,tasks,Edit Comment,SUB,PUT,/api/tasks/comments/{id},edit_comment,YES,YES,YES,YES,200,YES,2,NONE,content,NEW endpoint. Permission: own comment OR staff_can edit.
33,1,1,tasks,Delete Comment,SUB,DELETE,/api/tasks/comments/{id},remove_comment,YES,YES,YES,YES,200,YES,2,NONE,(comment_id),Permission: own comment OR staff_can edit.
34,1,1,tasks,List Reminders,SUB,GET,/api/tasks/{id}/reminders,add_reminder (form),YES,YES,YES,YES,200,YES,2,NONE,task_id,✅ FIXED: _remap override. Returns reminder list.
35,1,1,tasks,Add Reminder,SUB,POST,/api/tasks/{id}/reminders,add_reminder,YES,YES,YES,YES,201,YES,2,NONE,date,staff
36,1,1,tasks,Delete Reminder,SUB,DELETE,/api/tasks/reminders/{id},delete_reminder,YES,YES,YES,YES,200,YES,2,NONE,(reminder_id),✅ FIXED: Permission: own reminder OR staff_can edit.
37,1,1,tasks,List Timesheets,SUB,GET,/api/tasks/{id}/timesheets,(embedded in project),YES,YES,YES,YES,200,YES,2,NONE,task_id,✅ FIXED: _remap override. Returns timesheet list with staff names.
38,1,1,tasks,Delete Timesheet,SUB,DELETE,/api/tasks/timesheets/{id},delete_timesheet,YES,YES,YES,YES,200,YES,3,NONE,(timesheet_id),✅ FIXED: Permission: own OR staff_can edit.
39,1,1,tasks,Log Time,SUB,POST,/api/tasks/{id}/log_time,log_time,YES,YES,YES,YES,201,YES,2,NONE,start_time,end_time
40,1,1,tasks,Start Timer,TIMER,POST,/api/tasks/{id}/timer/start,timer_tracking,YES,YES,YES,YES,200,YES,1,NONE,task_id,note
41,1,1,tasks,Stop Timer,TIMER,POST,/api/tasks/{id}/timer/stop,timer_tracking,YES,YES,YES,YES,200,YES,1,NONE,task_id,timer_id
42,1,1,tasks,Kanban Board View,VIEW,GET,/api/tasks?limit=500,kanban,YES,YES,YES,YES,200,YES,1,NONE,status,Client-side grouping by status (useTasksByStatus hook).
43,1,1,tasks,Kanban Load More,PAGINATION,GET,/api/tasks?limit=&offset=,tasks_kanban_load_more,YES,YES,YES,YES,200,YES,1,NONE,limit,offset
44,1,1,tasks,Update Kanban Order,REORDER,PUT,/api/tasks/{id} + kanban_order,update_order,YES,YES,YES,YES,200,YES,1,NONE,kanban_order,Via data_put. kanban_order in whitelist.
45,1,1,tasks,Filter by Project,FILTER,GET,/api/tasks?project=,get_billable_tasks_by_project,YES,YES,YES,YES,200,YES,1,NONE,project,rel_type
46,1,1,tasks,Filter by Customer,FILTER,GET,/api/tasks?rel_type=customer&rel_id=,get_billable_tasks_by_customer_id,YES,YES,YES,YES,200,YES,1,NONE,rel_type,rel_id
47,1,1,tasks,Filter by Status,FILTER,GET,/api/tasks?status=,table filters,YES,YES,YES,YES,200,YES,1,NONE,status,Single or comma-separated statuses.
48,1,1,tasks,Filter by Assigned,FILTER,GET,/api/tasks?assigned=,ajax_search_assign_task_to_timer,YES,YES,YES,YES,200,YES,1,NONE,assigned,staff_id
49,1,1,tasks,Filter by Priority,FILTER,GET,/api/tasks?priority=,table filters,YES,YES,YES,YES,200,YES,1,NONE,priority,Via data_get filter.
50,1,1,tasks,Filter by Date Range,FILTER,GET,/api/tasks?start_from=&start_to=&due_from=&due_to=,table filters,YES,YES,YES,YES,200,YES,1,NONE,start_from,start_to
51,1,1,tasks,Upload File,UPLOAD,POST,/api/files/upload_bytes,upload_file,YES,YES,YES,PENDING,200,YES,1,NONE,file, rel_type
52,1,1,tasks,Delete File,DELETE,DELETE,/api/files/{id},remove_task_attachment,YES,YES,YES,PENDING,200,YES,1,NONE,(file_id),Via Files API.
53,1,1,tasks,Init Relation Tasks,VIEW,GET,/api/tasks?rel_type=&rel_id=,init_relation_tasks,YES,YES,YES,YES,200,YES,1,NONE,rel_type,rel_id
54,1,1,tasks,Billable Task Validation,VALIDATE,GET,/api/tasks/{id},get_billable_task_data,YES,YES,YES,YES,200,YES,1,NONE,billable,hourly_rate
55,1,1,tasks,Task Table View,LIST,GET,/api/tasks?limit=&offset=,table,YES,YES,YES,YES,200,YES,1,NONE,all list fields,Same as list endpoint with pagination.
56,1,1,tasks,My Tasks (Assigned),FILTER,GET,/api/tasks?assigned=,list_tasks,YES,YES,YES,YES,200,YES,1,NONE,assigned,useMyTasks hook with assigned filter.
57,1,1,tasks,Tasks Due Today,DASHBOARD,GET,/api/tasks?limit=200 (client filter),dashboard widgets,YES,YES,YES,YES,200,YES,1,NONE,duedate,status
58,1,1,tasks,Set Complete Type,STATUS,PUT,/api/tasks/{id} + complete_type,set_complete_type,YES,YES,YES,YES,200,YES,1,NONE,complete_type,Values: duration
59,1,1,tasks,Delete Unfinished Timesheet,DELETE,DELETE,/api/tasks/timesheets/{id},delete_user_unfinished_timesheet,YES,YES,YES,PENDING,200,YES,2,NONE,(timesheet_id),Permission-gated.
60,1,1,tasks,Bulk Action,BULK,N/A,bulk_action,YES,NO,NO,NO,N/A,NO,N/A,"multi-select,LOW,action,NOT IMPLEMENTED. Requires multi-select UI + bulk endpoint.
61,1,1,tasks,Edit Reminder,UPDATE,N/A,edit_reminder,YES,NO,NO,NO,N/A,NO,N/A,date",LOW,staff,NOT IMPLEMENTED. Low priority. Can add+delete only.
62,1,1,tasks,Update Timesheet,UPDATE,N/A,update_timesheet,YES,NO,NO,NO,N/A,NO,N/A,"start_time,NONE,end_time,note
63,1,1,tasks,Save Checklist Template,CREATE,N/A,save_checklist_item_template,YES,NO,NO,NO,N/A,NO,N/A,template data""",NONE,NOT IMPLEMENTED. Template system low priority.,
64,1,1,tasks,Delete Checklist Template,DELETE,N/A,remove_checklist_item_template,YES,NO,NO,NO,N/A,NO,N/A,(template_id),NONE,NOT IMPLEMENTED. Low priority.,
65,1,1,tasks,Task Tracking Stats,VIEW,N/A,task_tracking_stats,YES,NO,NO,NO,N/A,NO,N/A,stats aggregation,NONE,NOT IMPLEMENTED. Dashboard-level feature.,
66,1,1,tasks,Staff Started Timers,VALIDATE,N/A,get_staff_started_timers,YES,NO,NO,NO,N/A,NO,N/A,"staff,LOW,timer,NOT IMPLEMENTED. Global timer poll low priority.
67,1,1,tasks,Add External Attachment,UPLOAD,N/A,add_external_attachment,YES,NO,NO,NO,N/A,NO,N/A,URL",NONE,rel_type,rel_id
68,1,1,tasks,Download Files (ZIP),DOWNLOAD,N/A,download_files,YES,NO,NO,NO,N/A,NO,N/A,"task_id,LOW,comment_id,NOT IMPLEMENTED. Server-side ZIP download web-only.
69,1,1,tasks,Staff Mentions Lookup,VALIDATE,N/A,get_staff_names_for_mentions,YES,NO,NO,NO,N/A,NO,N/A,taskid""",NONE,NOT IMPLEMENTED. Staff list cached client-side already.,
70,1,1,tasks,Save Checklist Assigned,UPDATE,N/A,save_checklist_assigned_staff,YES,NO,NO,NO,N/A,NO,N/A,"checklist_id,LOW,assigned,NOT IMPLEMENTED. Low priority.
71,1,1,tasks,Switch Kanban View,PREFERENCE,N/A,switch_kanban,YES,NO,NO,NO,N/A,NO,N/A,view preference""",NONE,NOT NEEDED. Mobile uses local state (viewMode).,
72,1,1,tasks,Detailed Overview Panel,VIEW,N/A,detailed_overview,YES,NO,NO,NO,N/A,NO,N/A,HTML panel,NONE,NOT NEEDED. Mobile has custom detail layout.,
828,1,1,tasks,index (Tasks),LIST,GET,/api/tasks,index,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
829,1,1,tasks,list_tasks (Tasks),ACTION,POST,/api/tasks,list_tasks,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
830,1,1,tasks,table (Tasks),LIST,GET,/api/tasks,table,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
831,1,1,tasks,kanban (Tasks),ACTION,POST,/api/tasks,kanban,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
832,1,1,tasks,ajax_search_assign_task_to_timer (Tasks),ACTION,POST,/api/tasks,ajax_search_assign_task_to_timer,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
833,1,1,tasks,tasks_kanban_load_more (Tasks),ACTION,POST,/api/tasks,tasks_kanban_load_more,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
834,1,1,tasks,update_order (Tasks),ACTION,POST,/api/tasks,update_order,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
835,1,1,tasks,switch_kanban (Tasks),ACTION,POST,/api/tasks,switch_kanban,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
836,1,1,tasks,get_billable_tasks_by_project (Tasks),VALIDATE,GET,/api/tasks,get_billable_tasks_by_project,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
837,1,1,tasks,get_billable_tasks_by_customer_id (Tasks),VALIDATE,GET,/api/tasks,get_billable_tasks_by_customer_id,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
838,1,1,tasks,update_task_description (Tasks),ACTION,POST,/api/tasks,update_task_description,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
839,1,1,tasks,detailed_overview (Tasks),ACTION,POST,/api/tasks,detailed_overview,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
840,1,1,tasks,init_relation_tasks (Tasks),ACTION,POST,/api/tasks,init_relation_tasks,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
841,1,1,tasks,task (Tasks),ACTION,POST,/api/POST tasks,task,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,Create/Edit task
842,1,1,tasks,set_complete_type (Tasks),ACTION,POST,/api/tasks,set_complete_type,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
843,1,1,tasks,copy (Tasks),ACTION,POST,/api/POST tasks/{id}/copy,copy,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Copy task
844,1,1,tasks,get_billable_task_data (Tasks),VALIDATE,GET,/api/tasks,get_billable_task_data,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
845,1,1,tasks,get_task_data (Tasks),VALIDATE,GET,/api/tasks,get_task_data,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
846,1,1,tasks,add_reminder (Tasks),ACTION,POST,/api/tasks,add_reminder,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
847,1,1,tasks,edit_reminder (Tasks),ACTION,POST,/api/tasks,edit_reminder,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
848,1,1,tasks,delete_reminder (Tasks),DELETE,DELETE,/api/tasks,delete_reminder,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
849,1,1,tasks,get_staff_started_timers (Tasks),VALIDATE,GET,/api/tasks,get_staff_started_timers,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
850,1,1,tasks,save_checklist_item_template (Tasks),ACTION,POST,/api/tasks,save_checklist_item_template,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
851,1,1,tasks,remove_checklist_item_template (Tasks),ACTION,POST,/api/tasks,remove_checklist_item_template,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
852,1,1,tasks,init_checklist_items (Tasks),ACTION,POST,/api/tasks,init_checklist_items,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
853,1,1,tasks,task_tracking_stats (Tasks),ACTION,POST,/api/tasks,task_tracking_stats,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
854,1,1,tasks,checkbox_action (Tasks),ACTION,POST,/api/tasks,checkbox_action,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
855,1,1,tasks,add_checklist_item (Tasks),ACTION,POST,/api/POST tasks/checklist,add_checklist_item,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Add checklist item
856,1,1,tasks,update_checklist_order (Tasks),ACTION,POST,/api/tasks,update_checklist_order,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
857,1,1,tasks,delete_checklist_item (Tasks),DELETE,DELETE,/api/DELETE tasks/checklist/{id},delete_checklist_item,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Del checklist item
858,1,1,tasks,update_checklist_item (Tasks),ACTION,POST,/api/tasks,update_checklist_item,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
859,1,1,tasks,make_public (Tasks),ACTION,POST,/api/tasks,make_public,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
860,1,1,tasks,add_external_attachment (Tasks),UPLOAD,POST,/api/tasks,add_external_attachment,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
861,1,1,tasks,add_task_comment (Tasks),ACTION,POST,/api/tasks,add_task_comment,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
862,1,1,tasks,download_files (Tasks),ACTION,POST,/api/tasks,download_files,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
863,1,1,tasks,add_task_followers (Tasks),ACTION,POST,/api/tasks,add_task_followers,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
864,1,1,tasks,add_task_assignees (Tasks),ACTION,POST,/api/tasks,add_task_assignees,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
865,1,1,tasks,edit_comment (Tasks),ACTION,POST,/api/tasks,edit_comment,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
866,1,1,tasks,remove_comment (Tasks),ACTION,POST,/api/tasks,remove_comment,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
867,1,1,tasks,remove_assignee (Tasks),ACTION,POST,/api/DELETE tasks/assignments/{id},remove_assignee,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Remove assignee
868,1,1,tasks,remove_follower (Tasks),ACTION,POST,/api/DELETE tasks/followers/{id},remove_follower,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Remove follower
869,1,1,tasks,unmark_complete (Tasks),ACTION,POST,/api/tasks,unmark_complete,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
870,1,1,tasks,mark_as (Tasks),ACTION,POST,/api/tasks,mark_as,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
871,1,1,tasks,change_priority (Tasks),ACTION,POST,/api/tasks,change_priority,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
872,1,1,tasks,change_milestone (Tasks),ACTION,POST,/api/tasks,change_milestone,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
873,1,1,tasks,task_single_inline_update (Tasks),ACTION,POST,/api/tasks,task_single_inline_update,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
874,1,1,tasks,delete_task (Tasks),DELETE,DELETE,/api/tasks,delete_task,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
875,1,1,tasks,remove_task_attachment (Tasks),UPLOAD,POST,/api/tasks,remove_task_attachment,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
876,1,1,tasks,upload_file (Tasks),UPLOAD,POST,/api/POST files/upload_bytes,upload_file,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Upload file
877,1,1,tasks,timer_tracking (Tasks),ACTION,POST,/api/POST tasks/{id}/timer/{action},timer_tracking,YES,YES,YES,NO,N/A,PENDING,0,NONE,,Timer control
878,1,1,tasks,delete_user_unfinished_timesheet (Tasks),DELETE,DELETE,/api/tasks,delete_user_unfinished_timesheet,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
879,1,1,tasks,delete_timesheet (Tasks),DELETE,DELETE,/api/tasks,delete_timesheet,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
880,1,1,tasks,update_timesheet (Tasks),ACTION,POST,/api/tasks,update_timesheet,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
881,1,1,tasks,log_time (Tasks),ACTION,POST,/api/tasks,log_time,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
882,1,1,tasks,update_tags (Tasks),ACTION,POST,/api/tasks,update_tags,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
883,1,1,tasks,bulk_action (Tasks),BULK,GET,/api/tasks,bulk_action,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
884,1,1,tasks,gantt_date_update (Tasks),ACTION,POST,/api/tasks,gantt_date_update,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
885,1,1,tasks,get_task_by_id (Tasks),VALIDATE,GET,/api/tasks,get_task_by_id,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
886,1,1,tasks,get_staff_names_for_mentions (Tasks),VALIDATE,GET,/api/tasks,get_staff_names_for_mentions,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
887,1,1,tasks,save_checklist_assigned_staff (Tasks),ACTION,POST,/api/tasks,save_checklist_assigned_staff,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
888,1,1,tasks,AddTaskLog (Tasks),ACTION,POST,/api/tasks,AddTaskLog,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
1772,1,1,tasks,timer_start_post (Tasks),ACTION,POST,/api/tasks,timer_start_post,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
1773,1,1,tasks,timer_stop_post (Tasks),ACTION,POST,/api/tasks,timer_stop_post,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
1774,1,1,tasks,mark_complete_put (Tasks),ACTION,POST,/api/tasks,mark_complete_put,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
1775,1,1,tasks,reopen_put (Tasks),ACTION,POST,/api/tasks,reopen_put,YES,YES,YES,NO,N/A,PENDING,0,NONE,,
1776,1,1,tasks,data_get (Tasks),ACTION,POST,/api/tasks,data_get,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
1777,1,1,tasks,data_search_get (Tasks),ACTION,POST,/api/tasks,data_search_get,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
1778,1,1,tasks,data_post (Tasks),ACTION,POST,/api/tasks,data_post,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
1779,1,1,tasks,assignments_get (Tasks),ACTION,POST,/api/tasks,assignments_get,YES,YES,NO,NO,N/A,PENDING,0,MEDIUM,,
