#,Module,Operation,Category,HTTPMethod,APIEndpoint,WEBUI_Method,WEBUI_Available,API_Available,Mobile_Available,Tested,Success,Fields,Notes

20,projects,List Members,SUB,GET,/api/projects/members?project_id=,(embedded in view),YES,YES,NO,NO,PENDING,"staff_id,firstname,lastname","GAP: No endpoint"
21,projects,Add/Edit Members,SUB,POST,/api/projects/members,add_edit_members,YES,YES,NO,NO,PENDING,"staff_id,project_id","GAP: No endpoint"
22,projects,Remove Member,SUB,DELETE,/api/projects/members,remove_team_member,YES,YES,NO,NO,PENDING,"(staff_id,project_id)","GAP: No endpoint"
23,projects,List Discussions,SUB,GET,/api/projects/discussions?project_id=,discussions,YES,YES,NO,NO,PENDING,"discussion_id,subject,description","GAP: No endpoint"
24,projects,Add Discussion,SUB,POST,/api/projects/discussions,discussion,YES,YES,NO,NO,PENDING,"subject,description,project_id","GAP: No endpoint"
25,projects,List Files,SUB,GET,N/A,file,YES,NO,NO,NO,PENDING,"file_id,name,dateadded","GAP via Files API"
26,projects,Upload File,SUB,POST,/api/files/upload_bytes,upload_file,YES,YES,YES,NO,PENDING,"file,rel_type=project,rel_id","Via Files API"
27,projects,Delete File,SUB,DELETE,/api/files/{id},remove_file,YES,YES,YES,NO,PENDING,"(file_id)","Via Files API"
28,projects,Project Expenses,SUB,GET,/api/expenses?project_id=,expenses,YES,YES,NO,NO,PENDING,"expense_id,amount,category","GAP: No endpoint"
29,projects,Timesheets,SUB,GET,/api/projects/timesheets?project_id=,timesheets,YES,YES,NO,NO,PENDING,"timesheet_id,staff,task,hours","GAP: No endpoint"
30,projects,Add Timesheet,SUB,POST,N/A,timesheet,YES,NO,NO,NO,PENDING,"task_id,staff_id,start_time,end_time","GAP: No endpoint"
31,projects,Gantt Data,VIEW,GET,N/A,gantt,YES,NO,NO,NO,PENDING,"task dates,dependencies","GAP: No endpoint"
32,projects,BoQ Management,SUB,GET,N/A,boq,YES,NO,NO,NO,PENDING,"boq items","GAP: No endpoint"
33,projects,Copy Project,DUPLICATE,POST,/api/projects/copy,copy,YES,YES,NO,NO,PENDING,"copy_from","GAP: No endpoint"
34,projects,Project Notes,SUB,GET,/api/projects/notes?project_id=,save_note,YES,YES,NO,NO,PENDING,"note content","GAP: No endpoint"
35,projects,Bulk Action Files,BULK,POST,N/A,bulk_action_files,YES,NO,NO,NO,PENDING,"file_ids,action","GAP: No endpoint"
36,projects,Invoice Project,ACTION,POST,N/A,invoice_project,YES,NO,NO,NO,PENDING,"project_id,invoice_data","GAP: No endpoint"
37,projects,Pin Action,ACTION,POST,N/A,pin_action,YES,NO,NO,NO,PENDING,"project_id,action","GAP: No endpoint"

CUSTOMERS,,,,,,,,,,,,
38,customers,List Customers,LIST,GET,/api/customers?limit=&offset=,index,YES,YES,YES,NO,PENDING,"userid,company,vat,phonenumber,country,active","data_get paginated"
39,customers,Get Customer,DETAIL,GET,/api/customers/{id},client,YES,YES,YES,NO,PENDING,"All customer fields + custom","data_get single"
40,customers,Search Customers,SEARCH,GET,/api/customers/search/{key},(via table),YES,YES,YES,NO,PENDING,"company,vat,phonenumber","data_search_get"
41,customers,Create Customer,CREATE,POST,/api/customers,client,YES,YES,YES,NO,PENDING,"company,vat,phonenumber,country,currency,billing_street,city,state,zip,groups","data_post"
42,customers,Update Customer,UPDATE,PUT,/api/customers/{id},client,YES,YES,YES,NO,PENDING,"all updatable fields","data_put"
43,customers,Delete Customer,DELETE,DELETE,/api/customers/{id},delete,YES,YES,YES,NO,PENDING,"(cascade)","data_delete"
44,customers,Customer Count,VALIDATE,GET,/api/customers/count,count_get,YES,YES,NO,NO,PENDING,"status filter","Count endpoint"
45,customers,List Contacts,SUB,GET,N/A,all_contacts,YES,NO,NO,NO,PENDING,"id,firstname,lastname,email,phonenumber,active","GAP: Contacts controller has data_get but not exposed per customer"
46,customers,Create Contact,SUB,POST,/api/contacts,form_contact,YES,YES,NO,NO,PENDING,"customer_id,firstname,lastname,email,phonenumber","Via Contacts API data_post"
47,customers,Update Contact,SUB,PUT,/api/contacts/{id},form_contact,YES,YES,NO,NO,PENDING,"all contact fields","Via Contacts API data_put"
48,customers,Delete Contact,SUB,DELETE,/api/contacts/{id},delete_contact,YES,YES,NO,NO,PENDING,"(contact_id)","Via Contacts API data_delete"
49,customers,Customer Groups,SUB,GET,N/A,groups,YES,NO,NO,NO,PENDING,"group_id,name","GAP: No endpoint"
50,customers,Create Group,SUB,POST,N/A,group,YES,NO,NO,NO,PENDING,"name","GAP: No endpoint"
51,customers,Delete Group,SUB,DELETE,N/A,delete_group,YES,NO,NO,NO,PENDING,"(group_id)","GAP: No endpoint"
52,customers,Mark Active,STATUS,PUT,N/A,mark_as_active,YES,NO,NO,NO,PENDING,"active=1","GAP: Can use data_put"
53,customers,Change Status,STATUS,PUT,N/A,change_client_status,YES,NO,NO,NO,PENDING,"status","GAP: Can use data_put"
54,customers,Assign Admins,SUB,POST,N/A,assign_admins,YES,NO,NO,NO,PENDING,"staff_id","GAP: No endpoint"
55,customers,Remove Admin,SUB,DELETE,N/A,delete_customer_admin,YES,NO,NO,NO,PENDING,"(staff_id)","GAP: No endpoint"
56,customers,Billing/Shipping,VALIDATE,GET,N/A,get_customer_billing_and_shipping_details,YES,NO,NO,NO,PENDING,"billing_street,city,state,zip,shipping_street","GAP: No endpoint"
57,customers,Upload File,SUB,POST,/api/files/upload_bytes,upload_attachment,YES,YES,YES,NO,PENDING,"file,rel_type=customer,rel_id","Via Files API"
58,customers,Vault Entries,SUB,GET,N/A,vault_entry_create,YES,NO,NO,NO,PENDING,"vault entries","GAP: No endpoint"
59,customers,Import,IMPORT,POST,N/A,import,YES,NO,NO,NO,PENDING,"CSV/Excel","GAP: No endpoint"
60,customers,Bulk Action,BULK,POST,N/A,bulk_action,YES,NO,NO,NO,PENDING,"customer_ids,action","GAP: No endpoint"
61,customers,Zip Documents,EXPORT,GET,N/A,zip_credit_notes,YES,NO,NO,NO,PENDING,"document type","GAP: No endpoint"
62,customers,Statement,EXPORT,GET,N/A,statement,YES,NO,NO,NO,PENDING,"statement data","GAP: No endpoint"

LEADS,,,,,,,,,,,,
63,leads,List Leads,LIST,GET,/api/leads?limit=&offset=,index,YES,YES,YES,NO,PENDING,"id,name,company,status,source,assigned,dateadded","data_get paginated"
64,leads,Get Lead,DETAIL,GET,/api/leads/{id},lead,YES,YES,YES,NO,PENDING,"All lead fields","data_get single"
65,leads,Search Leads,SEARCH,GET,/api/leads/search/{key},(via index),YES,YES,YES,NO,PENDING,"name,company,email","data_search_get"
66,leads,Create Lead,CREATE,POST,/api/leads,lead,YES,YES,YES,NO,PENDING,"name,company,email,phonenumber,source,status,assigned","data_post"
67,leads,Update Lead,UPDATE,PUT,/api/leads/{id},lead,YES,YES,YES,NO,PENDING,"all updatable fields","data_put"
68,leads,Delete Lead,DELETE,DELETE,/api/leads/{id},delete,YES,YES,YES,NO,PENDING,"(cascade)","data_delete"
69,leads,Lead Count,VALIDATE,GET,/api/leads/count,count_get,YES,YES,NO,NO,PENDING,"status filter","Count endpoint"
70,leads,Change Status,STATUS,PUT,/api/leads/{id}/status,update_lead_status,YES,YES,YES,NO,PENDING,"status","status_put"
71,leads,Kanban Board,VIEW,GET,N/A,kanban,YES,NO,NO,NO,PENDING,"status,lead data","GAP: No endpoint"
72,leads,Kanban Load More,PAGINATION,GET,N/A,leads_kanban_load_more,YES,NO,NO,NO,PENDING,"page,status","GAP: No endpoint"
73,leads,Mark as Lost,STATUS,PUT,N/A,mark_as_lost,YES,NO,NO,NO,PENDING,"lost=1,date_lost","GAP: Can use data_put"
74,leads,Mark as Junk,STATUS,PUT,N/A,mark_as_junk,YES,NO,NO,NO,PENDING,"junk=1","GAP: Can use data_put"
75,leads,Convert to Customer,ACTION,POST,N/A,convert_to_customer,YES,NO,NO,NO,PENDING,"lead_id,customer_data","GAP: No endpoint"
76,leads,Add Note,SUB,POST,N/A,add_note,YES,NO,NO,NO,PENDING,"description","GAP: No endpoint"
77,leads,Delete Note,SUB,DELETE,N/A,delete_note,YES,NO,NO,NO,PENDING,"(note_id)","GAP: No endpoint"
78,leads,List Attachments,SUB,GET,N/A,(embedded),YES,NO,NO,NO,PENDING,"file_id,name","GAP via Files API"
79,leads,Upload Attachment,SUB,POST,/api/files/upload_bytes,add_lead_attachment,YES,YES,YES,NO,PENDING,"file,rel_type=lead,rel_id","Via Files API"
80,leads,Delete Attachment,SUB,DELETE,/api/files/{id},delete_attachment,YES,YES,YES,NO,PENDING,"(file_id)","Via Files API"
81,leads,Lead Sources,SUB,GET,N/A,sources,YES,NO,NO,NO,PENDING,"source_id,name","GAP: No endpoint"
82,leads,Lead Statuses,SUB,GET,N/A,statuses,YES,NO,NO,NO,PENDING,"status_id,name,color","GAP: No endpoint"
83,leads,Import,IMPORT,POST,N/A,import,YES,NO,NO,NO,PENDING,"CSV/Excel","GAP: No endpoint"
84,leads,Bulk Action,BULK,POST,N/A,bulk_action,YES,NO,NO,NO,PENDING,"lead_ids,action","GAP: No endpoint"
85,leads,Email Integration,ACTION,POST,N/A,email_integration,YES,NO,NO,NO,PENDING,"integration config","GAP: No endpoint"

CONTRACTS,,,,,,,,,,,,
86,contracts,List Contracts,LIST,GET,/api/contracts?limit=&offset=,index,YES,YES,YES,NO,PENDING,"id,subject,client,dateadded,datestart,dateend,contract_value","data_get paginated"
87,contracts,Get Contract,DETAIL,GET,/api/contracts/{id},contract,YES,YES,YES,NO,PENDING,"All contract fields","data_get single"
88,contracts,Create Contract,CREATE,POST,/api/contracts,contract,YES,YES,YES,NO,PENDING,"subject,client,datestart,dateend,contract_value,content","data_post"
89,contracts,Update Contract,UPDATE,PUT,N/A,contract,YES,NO,NO,NO,PENDING,"all fields","GAP: No data_put endpoint"
90,contracts,Delete Contract,DELETE,DELETE,/api/contracts/{id},delete,YES,YES,YES,NO,PENDING,"(cascade)","data_delete"
91,contracts,Sign Contract,ACTION,POST,/api/contracts/{id}/sign,mark_as_signed,YES,YES,YES,NO,PENDING,"signature","sign_post"
92,contracts,Unsign Contract,ACTION,POST,N/A,unmark_as_signed,YES,NO,NO,NO,PENDING,"signature","GAP: No endpoint"
93,contracts,Send to Email,ACTION,POST,/api/contracts/{id}/send,send_to_email,YES,YES,YES,NO,PENDING,"email,message","send_post"
94,contracts,Renew Contract,ACTION,POST,/api/contracts/{id}/renew,renew,YES,YES,YES,NO,PENDING,"new_start,new_end","renew_post"
95,contracts,Copy Contract,DUPLICATE,POST,N/A,copy,YES,NO,NO,NO,PENDING,"copy_from","GAP: No endpoint"
96,contracts,List Comments,SUB,GET,N/A,get_comments,YES,NO,NO,NO,PENDING,"comment_id,content,dateadded","GAP: No endpoint"
97,contracts,Add Comment,SUB,POST,N/A,add_comment,YES,NO,NO,NO,PENDING,"content,contract_id","GAP: No endpoint"
98,contracts,Edit Comment,SUB,PUT,N/A,edit_comment,YES,NO,NO,NO,PENDING,"content","GAP: No endpoint"
99,contracts,Delete Comment,SUB,DELETE,N/A,remove_comment,YES,NO,NO,NO,PENDING,"(comment_id)","GAP: No endpoint"
100,contracts,Contract Notes,SUB,GET,N/A,get_notes,YES,NO,NO,NO,PENDING,"note content","GAP: No endpoint"
101,contracts,Add Note,SUB,POST,N/A,add_note,YES,NO,NO,NO,PENDING,"content","GAP: No endpoint"
102,contracts,List Attachments,SUB,GET,N/A,(embedded),YES,NO,NO,NO,PENDING,"file_id,name","GAP via Files API"
103,contracts,Upload Attachment,SUB,POST,N/A,add_contract_attachment,YES,NO,NO,NO,PENDING,"file,contract_id","GAP: No endpoint"
104,contracts,Contract Types,SUB,GET,N/A,types,YES,NO,NO,NO,PENDING,"type_id,name","GAP: No endpoint"
105,contracts,Create/Update Type,SUB,POST,N/A,type,YES,NO,NO,NO,PENDING,"name","GAP: No endpoint"
106,contracts,Pdf Generation,EXPORT,GET,N/A,pdf,YES,NO,NO,NO,PENDING,"contract_id","GAP: No endpoint"

MILESTONES,,,,,,,,,,,,
107,milestones,List Milestones,LIST,GET,/api/milestones?project_id=,milestones,YES,YES,YES,NO,PENDING,"id,name,project_id,due_date,color,milestone_order","data_get with filters"
108,milestones,Get Milestone,DETAIL,GET,/api/milestones/{id},milestone,YES,YES,YES,NO,PENDING,"All milestone fields","data_get single"
109,milestones,Search Milestones,SEARCH,GET,/api/milestones/search/{key},(via project),YES,YES,YES,NO,PENDING,"name","data_search_get"
110,milestones,Create Milestone,CREATE,POST,/api/milestones,milestone,YES,YES,YES,NO,PENDING,"name,project_id,due_date,description","data_post"
111,milestones,Update Milestone,UPDATE,PUT,/api/milestones/{id},milestone,YES,YES,YES,NO,PENDING,"name,color,due_date,description","data_put"
112,milestones,Delete Milestone,DELETE,DELETE,/api/milestones/{id},delete_milestone,YES,YES,YES,NO,PENDING,"(milestone_id)","data_delete"
113,milestones,Reorder Milestones,REORDER,PUT,N/A,update_milestones_order,YES,NO,NO,NO,PENDING,"order array","GAP: No endpoint"
114,milestones,Change Color,UPDATE,PUT,N/A,change_milestone_color,YES,NO,NO,NO,PENDING,"color","GAP: Can use data_put"
115,milestones,Kanban View,VIEW,GET,N/A,milestones_kanban,YES,NO,NO,NO,PENDING,"project_id","GAP: No endpoint"

BUSINESS_PARTNERS,,,,,,,,,,,,
116,business_partners,List Partners,LIST,GET,/api/business_partners_api,YES,YES,YES,NO,PENDING,"id,name,type,category","data_get"
117,business_partners,Get Partner,DETAIL,GET,/api/business_partners_api/{id},YES,YES,YES,NO,PENDING,"all fields","data_get single"
118,business_partners,Create Partner,CREATE,POST,/api/business_partners_api,YES,YES,YES,NO,PENDING,"name,type,category,contacts","data_post"
119,business_partners,Update Partner,UPDATE,PUT,/api/business_partners_api/{id},YES,YES,YES,NO,PENDING,"all fields","data_put"
120,business_partners,Delete Partner,DELETE,DELETE,/api/business_partners_api/{id},YES,YES,YES,NO,PENDING,"(id)","data_delete"
121,business_partners,Partner Groups,SUB,GET,/api/business_partners_api/groups,YES,YES,NO,NO,PENDING,"group data","groups_get"
122,business_partners,Partner Activity,SUB,GET,/api/business_partners_api/activity/{id},YES,YES,NO,NO,PENDING,"activity log","activity_get"

CONTACTS,,,,,,,,,,,,
123,contacts,List Contacts,LIST,GET,/api/contacts?customer_id=,all_contacts,YES,YES,NO,NO,PENDING,"id,firstname,lastname,email,phonenumber","data_get"
124,contacts,Get Contact,DETAIL,GET,/api/contacts/{id},form_contact,YES,YES,NO,NO,PENDING,"all contact fields","data_get single"
125,contacts,Create Contact,CREATE,POST,/api/contacts,form_contact,YES,YES,NO,NO,PENDING,"customer_id,firstname,lastname,email,phonenumber","data_post"
126,contacts,Update Contact,UPDATE,PUT,/api/contacts/{id},form_contact,YES,YES,NO,NO,PENDING,"all fields","data_put"
127,contacts,Delete Contact,DELETE,DELETE,/api/contacts/{id},delete_contact,YES,YES,NO,NO,PENDING,"(contact_id)","data_delete"
128,contacts,Change Status,STATUS,PUT,N/A,change_contact_status,YES,NO,NO,NO,PENDING,"active","GAP: No endpoint"

SUMMARY,,,,,,,,,,,,
"","BATCH 2 TOTALS","","","","","","","","","","",""
"","TOTAL OPERATIONS: 128","","","","","","","","","","",""
"","✅ API EXISTS: 62 (48.4%) - basic CRUD + count + search + sub-resources + copy","","","","","","","","","","",""
"","❌ GAPS (need building): 66 (51.6%)","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","CRITICAL GAPS (block mobile usage):","","","","","","","","","","",""
"","  Projects: milestones CRUD, add_timesheet, gantt, boq","","","","","","","","","","",""
"","  Customers: contacts CRUD per customer, groups, billing/shipping","","","","","","","","","","",""
"","  Leads: kanban, convert, notes, attachments, sources, statuses","","","","","","","","","","",""
"","  Contracts: comments, notes, attachments, types, pdf","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","PATTERN: Most modules ONLY have basic data_get/post/put/delete + count/search.","","","","","","","","","","",""
"","All sub-resources (members, comments, files, discussions, notes, etc.) are MISSING from API.","","","","","","","","","","",""
